Semantic Threshold,Termination Threshold,Accuracy (%),Avg Time (s),Avg Tokens,Total Tokens
0.2,8.0,50.00,18.98,3481.20,34812
0.2,9.0,30.00,42.34,6237.80,62378
0.2,9.5,40.00,29.61,6259.50,62595
0.5,8.0,40.00,14.38,2830.90,28309
0.5,9.0,40.00,26.46,5377.40,53774
0.5,9.5,40.00,26.42,5520.00,55200
0.8,8.0,50.00,13.08,1752.00,17520
0.8,9.0,50.00,15.83,2075.80,20758
0.8,9.5,50.00,15.82,2074.10,20741
