Semantic Threshold,Termination Threshold,Creative Score (%),Avg Time (s),Avg Tokens,Total Tokens
0.2,8.0,96.00,36.23,1610.67,4832
0.2,9.0,97.33,74.09,5722.67,17168
0.2,9.5,97.33,97.83,5722.67,17168
0.5,8.0,96.00,51.43,1408.00,4224
0.5,9.0,97.33,88.13,3952.00,11856
0.5,9.5,97.33,90.78,3952.00,11856
0.8,8.0,96.00,56.85,1159.33,3478
0.8,9.0,96.00,63.42,2097.00,6291
0.8,9.5,96.00,50.95,2097.00,6291
