Semantic Threshold,Termination Threshold,Creative Score (%),Avg Time (s),Avg Tokens,Total Tokens
0.2,8.0,98.00,37.88,1550.00,4650
0.2,9.0,96.00,61.48,4837.67,14513
0.2,9.5,96.00,60.77,4837.67,14513
0.5,8.0,94.67,34.79,1240.33,3721
0.5,9.0,95.33,53.84,2812.00,8436
0.5,9.5,95.33,53.81,2812.00,8436
0.8,8.0,94.67,34.10,1091.33,3274
0.8,9.0,94.67,47.62,2080.33,6241
0.8,9.5,94.67,47.64,2080.33,6241
