Semantic Threshold,Termination Threshold,Accuracy (%),Avg Time (s),Avg Tokens,Total Tokens
0.2,8.0,50.00,16.97,2670.90,26709
0.2,9.0,50.00,34.58,6481.50,64815
0.2,9.5,20.00,34.48,6448.00,64480
0.5,8.0,40.00,16.39,2781.50,27815
0.5,9.0,40.00,33.44,5897.60,58976
0.5,9.5,20.00,33.55,5953.60,59536
0.8,8.0,20.00,13.54,1519.60,15196
0.8,9.0,30.00,19.22,2234.90,22349
0.8,9.5,20.00,19.61,2193.10,21931
