Semantic Threshold,Termination Threshold,Accuracy (%),Avg Time (s),Avg Tokens,Total Tokens
0.2,8.0,40.00,19.09,2407.40,24074
0.2,9.0,60.00,34.75,6490.90,64909
0.2,9.5,40.00,35.68,6489.30,64893
0.5,8.0,40.00,15.48,2274.60,22746
0.5,9.0,50.00,36.84,5603.90,56039
0.5,9.5,40.00,30.51,5393.70,53937
0.8,8.0,30.00,12.07,1330.70,13307
0.8,9.0,50.00,17.86,2082.60,20826
0.8,9.5,50.00,18.13,2088.80,20888
