Semantic Threshold,Termination Threshold,Creative Score (%),Avg Time (s),Avg Tokens,Total Tokens
0.2,8.0,96.06,31.97,1512.33,4537
0.2,9.0,94.00,64.95,5527.67,16583
0.2,9.5,94.00,65.01,5527.67,16583
0.5,8.0,94.73,35.49,1165.67,3497
0.5,9.0,94.73,50.10,2764.00,8292
0.5,9.5,94.73,49.68,2764.00,8292
0.8,8.0,94.73,35.16,1115.33,3346
0.8,9.0,94.73,45.55,2024.00,6072
0.8,9.5,94.73,45.64,2024.00,6072
